time,fog_id,vehicle_number,vehicles
1,1,5,"[{'x': 903.8679719062931, 'y': 543.7646892723627}, {'x': 630.4639496906103, 'y': 744.4031147672193}, {'x': 856.7571166011038, 'y': 596.9179612114094}, {'x': 594.6242414180015, 'y': 694.01151232603}, {'x': 873.1378518487692, 'y': 280.8500374188696}]"
1,2,6,"[{'x': 928.9099054484976, 'y': 1599.5837524821982}, {'x': 933.0709739058512, 'y': 1296.749188510701}, {'x': 983.1306021620984, 'y': 1450.0557279968634}, {'x': 21.96185251697898, 'y': 1582.0883294227533}, {'x': 910.2173489485224, 'y': 1611.1014695292338}, {'x': 958.5727031723584, 'y': 1365.4045357698342}]"
1,3,7,"[{'x': 634.0757875895359, 'y': 2847.5154571062885}, {'x': 621.0982872952009, 'y': 2274.7205401081587}, {'x': 815.6414556030212, 'y': 2584.9552945469627}, {'x': 597.7601143395295, 'y': 2756.0508507057093}, {'x': 605.3573967337143, 'y': 2782.143706060015}, {'x': 233.5871639942828, 'y': 2281.522841223115}, {'x': 627.9183884715079, 'y': 2355.151101222774}]"
1,4,16,"[{'x': 1486.5156880841823, 'y': 218.46064750151714}, {'x': 1883.323341842799, 'y': 712.2438750392758}, {'x': 1456.3910455631087, 'y': 207.65754729914931}, {'x': 1788.8765058209824, 'y': 688.790403790446}, {'x': 1349.1233839965755, 'y': 486.4896365799941}, {'x': 1627.3837861795678, 'y': 476.0380425057372}, {'x': 1820.3395544093216, 'y': 697.3619671040215}, {'x': 1559.502356451878, 'y': 130.569519500155}, {'x': 1962.0522939955704, 'y': 454.011342891492}, {'x': 1883.209490078152, 'y': 693.9461545879487}, {'x': 1815.7920149870333, 'y': 703.6065194602124}, {'x': 1522.6176686955152, 'y': 812.2297185389325}, {'x': 1103.2665225192968, 'y': 326.0619698894831}, {'x': 1519.9873340778402, 'y': 405.42413748586546}, {'x': 1761.2705701409725, 'y': 703.8387814755553}, {'x': 1439.0077662327094, 'y': 152.35713337082416}]"
1,5,9,"[{'x': 1153.3098923571526, 'y': 1416.8176471656188}, {'x': 1217.1473441157725, 'y': 1351.0010419785976}, {'x': 1421.9469937826507, 'y': 1905.4529613023624}, {'x': 1452.11073662102, 'y': 1490.7914137504995}, {'x': 1068.1467505503097, 'y': 1498.8846515766345}, {'x': 1455.9025062803412, 'y': 1187.8498267200775}, {'x': 1470.695201386057, 'y': 1329.8156311991625}, {'x': 1421.5327895285445, 'y': 1454.9151055049151}, {'x': 1473.465895194269, 'y': 1340.3217257359065}]"
1,6,17,"[{'x': 1409.635073341604, 'y': 2941.8575172908604}, {'x': 1713.8002455050007, 'y': 2664.8797411424107}, {'x': 1426.6558875531769, 'y': 2502.8107455307627}, {'x': 1522.7280120299426, 'y': 2766.103752611671}, {'x': 1422.3417772740356, 'y': 2479.5716087114997}, {'x': 1235.8741076549632, 'y': 2910.7275336142625}, {'x': 1399.5290289064287, 'y': 2707.3055341481227}, {'x': 1653.94755688234, 'y': 2679.466036376544}, {'x': 1416.3451164812197, 'y': 2915.976940691937}, {'x': 1855.1346879329071, 'y': 2552.324786751531}, {'x': 1430.5337318214588, 'y': 2428.075928152539}, {'x': 1338.577135554806, 'y': 2842.2579578920268}, {'x': 1021.9227565493202, 'y': 2623.1342805214226}, {'x': 1842.424487823213, 'y': 2544.672208345029}, {'x': 1410.839169999957, 'y': 2951.800377816613}, {'x': 1739.0462005215231, 'y': 2923.58936513355}, {'x': 1015.8592663627524, 'y': 2498.9840399231302}]"
1,7,11,"[{'x': 2679.181416228937, 'y': 264.7578431451693}, {'x': 2394.812836182362, 'y': 953.9422459271736}, {'x': 2251.085604947235, 'y': 723.0457322713919}, {'x': 2234.540516902489, 'y': 713.0636674229056}, {'x': 2251.0815842711604, 'y': 734.1291506318373}, {'x': 2077.888646466832, 'y': 463.5787156149745}, {'x': 2227.2284218590357, 'y': 272.26054068142554}, {'x': 2060.5350723342854, 'y': 416.28583632269874}, {'x': 2664.269465937576, 'y': 721.4157785341611}, {'x': 2280.670450729493, 'y': 928.3975301389582}, {'x': 2342.756937901757, 'y': 864.0432957170531}]"
1,8,14,"[{'x': 2521.5075974429487, 'y': 1346.9341027455198}, {'x': 2426.370231479523, 'y': 1479.3663513553327}, {'x': 2546.295874299481, 'y': 1718.6632549236526}, {'x': 2569.5888652210124, 'y': 1348.507452222053}, {'x': 2084.202072206488, 'y': 1298.8413495537827}, {'x': 2082.0803029300296, 'y': 1280.3899867786095}, {'x': 2051.0495437525096, 'y': 1570.5894027925094}, {'x': 2302.758003402734, 'y': 1131.040654792916}, {'x': 2422.4235886985252, 'y': 1660.235621797014}, {'x': 2404.435738936559, 'y': 1749.8515730493868}, {'x': 2585.4264187661465, 'y': 1328.648300531786}, {'x': 2450.967066774494, 'y': 1035.495020146016}, {'x': 2086.13633753943, 'y': 1289.4547850302085}, {'x': 2944.509214863297, 'y': 1358.7190285101533}]"
1,9,11,"[{'x': 2810.2881477369697, 'y': 2719.921077979542}, {'x': 2415.4390938485158, 'y': 2486.161905264948}, {'x': 2221.7284371732967, 'y': 2152.382159186993}, {'x': 2565.3086587766297, 'y': 2315.457910281606}, {'x': 2947.031776315737, 'y': 2478.9289245208724}, {'x': 2677.1092017631745, 'y': 2407.4140677154064}, {'x': 2286.988644028007, 'y': 2844.399429967813}, {'x': 2821.073741235205, 'y': 2740.6136166115757}, {'x': 2819.7095423775377, 'y': 2736.668084233813}, {'x': 2969.7983445492573, 'y': 2465.297513742465}, {'x': 2720.6347340087523, 'y': 2550.36347196158}]"
11,1,27,"[{'x': 704.3365864550315, 'y': 713.9021775116721}, {'x': 986.1528584208107, 'y': 444.5194067424163}, {'x': 716.3352797879138, 'y': 704.8889929760713}, {'x': 828.3961681587273, 'y': 631.4487020424567}, {'x': 690.1264233776076, 'y': 833.1042141940355}, {'x': 429.1551511919823, 'y': 774.4226571107283}, {'x': 520.8898066622671, 'y': 754.3846793020608}, {'x': 612.6899612022734, 'y': 705.1027598304843}, {'x': 923.5801909240778, 'y': 366.04249370153985}, {'x': 845.710495472059, 'y': 452.48301105424764}, {'x': 645.113457650732, 'y': 731.4799705222249}, {'x': 917.6812712001264, 'y': 514.7207916849293}, {'x': 870.0446599571558, 'y': 587.4074583432638}, {'x': 414.9881895138533, 'y': 794.3152778347023}, {'x': 780.4940737126742, 'y': 649.7072982219979}, {'x': 956.1177054312427, 'y': 474.89652387555685}, {'x': 799.7805748119138, 'y': 660.7502888426185}, {'x': 706.7087968867854, 'y': 706.4664682818111}, {'x': 594.4911263104586, 'y': 694.1345531944187}, {'x': 531.9497861457523, 'y': 755.7543163605965}, {'x': 381.11723385055086, 'y': 779.8717577619943}, {'x': 471.4508182199497, 'y': 761.8734609258827}, {'x': 385.965481745766, 'y': 777.5586521342398}, {'x': 870.9423972908959, 'y': 283.66852320233164}, {'x': 519.0227533874727, 'y': 646.8690334067428}, {'x': 464.46612405248453, 'y': 764.2378278375603}, {'x': 702.1177589096055, 'y': 719.3719090399841}]"
